location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
IT0761A,Milano,IT,2020-10-02T15:00:00Z,2020-10-02T17:00:00+02:00,no2,24.022566,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-02T14:00:00Z,2020-10-02T16:00:00+02:00,no2,25.278036,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-02T13:00:00Z,2020-10-02T15:00:00+02:00,no2,25.957651,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-02T12:00:00Z,2020-10-02T14:00:00+02:00,no2,26.15479,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-02T11:00:00Z,2020-10-02T13:00:00+02:00,no2,20.009726,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-02T10:00:00Z,2020-10-02T12:00:00+02:00,no2,22.087479,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-02T09:00:00Z,2020-10-02T11:00:00+02:00,no2,20.24837,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-02T08:00:00Z,2020-10-02T10:00:00+02:00,no2,23.283287,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-02T07:00:00Z,2020-10-02T09:00:00+02:00,no2,19.003275,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-02T06:00:00Z,2020-10-02T08:00:00+02:00,no2,15.996884,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-02T05:00:00Z,2020-10-02T07:00:00+02:00,no2,14.149993,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-02T04:00:00Z,2020-10-02T06:00:00+02:00,no2,13.408124,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-02T03:00:00Z,2020-10-02T05:00:00+02:00,no2,18.611588,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-02T02:00:00Z,2020-10-02T04:00:00+02:00,no2,23.254755,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-02T01:00:00Z,2020-10-02T03:00:00+02:00,no2,32.59297,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-02T00:00:00Z,2020-10-02T02:00:00+02:00,no2,41.194508,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T23:00:00Z,2020-10-02T01:00:00+02:00,no2,45.38633,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T22:00:00Z,2020-10-02T00:00:00+02:00,no2,48.97117,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T21:00:00Z,2020-10-01T23:00:00+02:00,no2,55.658367,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T20:00:00Z,2020-10-01T22:00:00+02:00,no2,52.36665,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T19:00:00Z,2020-10-01T21:00:00+02:00,no2,47.886898,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T18:00:00Z,2020-10-01T20:00:00+02:00,no2,27.176807,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T17:00:00Z,2020-10-01T19:00:00+02:00,no2,21.633535,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T16:00:00Z,2020-10-01T18:00:00+02:00,no2,14.445705,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T15:00:00Z,2020-10-01T17:00:00+02:00,no2,24.191174,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T14:00:00Z,2020-10-01T16:00:00+02:00,no2,28.805807,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T13:00:00Z,2020-10-01T15:00:00+02:00,no2,26.813654,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T12:00:00Z,2020-10-01T14:00:00+02:00,no2,36.28676,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T11:00:00Z,2020-10-01T13:00:00+02:00,no2,36.81592,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T10:00:00Z,2020-10-01T12:00:00+02:00,no2,41.028496,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T09:00:00Z,2020-10-01T11:00:00+02:00,no2,42.07645,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T08:00:00Z,2020-10-01T10:00:00+02:00,no2,48.898537,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
